series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
Majo no Tabitabi;2020-12-21;8;Completed;12;2020-10-13;12;TV;40571
Majo no Takkyuubin;2024-11-12;8;Completed;1;2024-11-12;1;Movie;512
Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;48417
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;2020-09-26;7;Completed;13;2020-07-06;13;TV;40496
Mashle;2023-07-01;8;Completed;12;2023-04-21;12;TV;52211
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen;2024-04-21;8;Completed;12;2024-02-15;12;TV;55813
MF Ghost;2024-03-14;7;Completed;12;2024-03-12;12;TV;50695
MF Ghost 2nd Season;0000-00-00;0;Watching;7;2024-10-17;12;TV;57559
Mikan-bune;2020-01-30;2;Completed;1;2020-01-30;1;Movie;7497
Mimi wo Sumaseba;2024-11-14;10;Completed;1;2024-11-14;1;Movie;585
Mirai Nikki;2018-06-15;7;Completed;1;2018-06-15;1;OVA;8460
Mirai Nikki (TV);2018-06-15;6;Completed;26;2018-06-10;26;TV;10620
Mirai Nikki: Redial;2018-06-15;5;Completed;1;2018-06-15;1;OVA;16762
Mirai Shounen Conan;0000-00-00;0;Plan to Watch;0;0000-00-00;26;TV;302
Mob Psycho 100;2020-12-28;9;Completed;12;2020-12-18;12;TV;32182
Mob Psycho 100 II;2021-01-25;10;Completed;13;2021-01-04;13;TV;37510
Mob Psycho 100 III;2023-04-24;9;Completed;12;2022-11-24;12;TV;50172
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi;2021-01-25;8;Completed;1;2021-01-25;1;OVA;39651
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha;2020-12-28;7;Completed;1;2020-12-28;1;Special;36616
Monogatari Series: Off & Monster Season;0000-00-00;0;Plan to Watch;0;0000-00-00;14;ONA;57864
Monogatari Series: Second Season;2020-09-16;10;Completed;26;2020-08-25;26;TV;17074
Mononoke Hime;2024-11-08;9;Completed;1;2024-11-08;1;Movie;164
Monster;2024-02-11;9;Completed;74;2023-07-06;74;TV;19
Monsters: Ippyaku Sanjou Hiryuu Jigoku;2024-06-10;8;Completed;1;2024-06-10;1;ONA;56055
Mugen no Juunin: Immortal;2020-03-26;5;Completed;24;2019-10-13;24;ONA;39806
Mushoku Tensei: Isekai Ittara Honki Dasu;2021-04-18;8;Completed;11;2021-01-15;11;TV;39535
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;45576
Nanatsu no Taizai;2018-06-02;8;Completed;24;2018-06-01;24;TV;23755
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito;2018-08-23;7;Completed;1;2018-08-23;1;Movie;35946
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi;2022-02-27;6;Completed;1;2022-02-27;1;Movie;46420
Nanatsu no Taizai OVA;2018-06-02;7;Completed;2;2018-06-02;2;OVA;30347
Nanatsu no Taizai: Funnu no Shinpan;2022-02-27;5;Completed;24;2021-01-27;24;TV;41491
Nanatsu no Taizai: Imashime no Fukkatsu;2018-06-10;7;Completed;24;2018-06-02;24;TV;34577
Nanatsu no Taizai: Kamigami no Gekirin;2020-03-29;5;Completed;24;2019-10-10;24;TV;39701
Nanatsu no Taizai: Mokushiroku no Yonkishi;0000-00-00;0;Plan to Watch;0;0000-00-00;24;TV;51794
Nanatsu no Taizai: Seisen no Shirushi;2018-06-02;7;Completed;4;2018-06-02;4;TV;31722
Nekomonogatari: Kuro;2020-08-25;8;Completed;4;2020-08-24;4;TV Special;15689
Nekopara;2020-03-29;6;Completed;12;2020-01-09;12;TV;38924
New Game!;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;31953
Nichijou;2020-07-02;8;Completed;26;2020-06-24;26;TV;10165
Nisemonogatari;2020-08-24;8;Completed;11;2020-08-19;11;TV;11597
No Guns Life;2019-12-19;7;Completed;12;2019-10-03;12;TV;39539
No Guns Life 2nd Season;2020-09-26;7;Completed;12;2020-07-10;12;TV;40529
Noragami;2020-07-27;8;Completed;12;2020-07-26;12;TV;20507
Noragami Aragoto;2020-07-29;9;Completed;13;2020-07-28;13;TV;30503
Noragami Aragoto OVA;2020-07-29;7;Completed;2;2020-07-29;2;OVA;30885
Noragami OVA;2020-07-27;7;Completed;2;2020-07-27;2;OVA;20767
Numa no Taishou;2020-01-27;4;Completed;1;2020-01-27;1;Movie;28049
Omoide no Marnie;2024-11-20;8;Completed;1;2024-11-20;1;Movie;21557
One Piece;0000-00-00;9;Watching;1123;2020-02-01;0;TV;21
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai;2024-06-12;7;Completed;1;2024-06-12;1;TV Special;25161
One Piece 3D: Mugiwara Chase;2020-11-23;7;Completed;1;2020-11-23;1;Movie;9999
One Piece Fan Letter;2024-10-21;10;Completed;1;2024-10-21;1;TV Special;60022
One Piece Film: Gold;2020-11-25;8;Completed;1;2020-11-25;1;Movie;31490
One Piece Film: Strong World;2020-11-16;8;Completed;1;2020-11-16;1;Movie;4155
One Piece Film: Strong World Episode 0;2020-11-16;8;Completed;1;2020-11-16;1;OVA;8740
One Piece Film: Z;2020-11-23;8;Completed;1;2020-11-23;1;Movie;12859
One Piece Movie 01;2020-10-30;7;Completed;1;2020-10-30;1;Movie;459
One Piece Movie 02: Nejimaki-jima no Daibouken;2020-10-30;7;Completed;1;2020-10-30;1;Movie;460
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku;2020-10-30;7;Completed;1;2020-10-30;1;Movie;461
One Piece Movie 04: Dead End no Bouken;2020-10-31;7;Completed;1;2020-10-31;1;Movie;462
One Piece Movie 05: Norowareta Seiken;2020-10-31;6;Completed;1;2020-10-31;1;Movie;463
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima;2020-10-31;9;Completed;1;2020-10-31;1;Movie;464
One Piece Movie 07: Karakuri-jou no Mecha Kyohei;2020-11-02;7;Completed;1;2020-11-02;1;Movie;465
One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi;2020-11-03;7;Completed;1;2020-11-03;1;Movie;2107
One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura;2020-11-09;6;Completed;1;2020-11-09;1;Movie;3848
One Piece Movie 14: Stampede;2020-11-26;8;Completed;1;2020-11-26;1;Movie;38234
One Piece: Adventure of Nebulandia;2024-06-12;7;Completed;1;2024-06-12;1;TV Special;32051
